Level	Date and Time	Source	Event ID	Task Category
Information	12/26/2022 9:27:10 PM	Microsoft-Windows-TerminalServices-LocalSessionManager	54	None	Local multi-user session manager received system shutdown message
Information	12/26/2022 9:27:10 PM	Microsoft-Windows-TerminalServices-LocalSessionManager	23	None	"Remote Desktop Services: Session logoff succeeded:

User: WZSCN\11004142
Session ID: 1"
Information	12/23/2022 4:13:22 PM	Microsoft-Windows-TerminalServices-LocalSessionManager	22	None	"Remote Desktop Services: Shell start notification received:

User: WZSCN\11004142
Session ID: 1
Source Network Address: LOCAL"
Information	12/23/2022 4:13:22 PM	Microsoft-Windows-TerminalServices-LocalSessionManager	21	None	"Remote Desktop Services: Session logon succeeded:

User: WZSCN\11004142
Session ID: 1
Source Network Address: LOCAL"
Information	12/23/2022 4:13:16 PM	Microsoft-Windows-TerminalServices-LocalSessionManager	42	None	"End session arbitration:

User: WZSCN\11004142
Session ID: 1"
Information	12/23/2022 4:13:16 PM	Microsoft-Windows-TerminalServices-LocalSessionManager	41	None	"Begin session arbitration:

User: WZSCN\11004142
Session ID: 1"
Information	12/23/2022 4:12:35 PM	Microsoft-Windows-TerminalServices-LocalSessionManager	32	None	Plugin RDSAppXPlugin has been successfully initialized
Information	12/23/2022 4:10:59 PM	Microsoft-Windows-TerminalServices-LocalSessionManager	54	None	Local multi-user session manager received system shutdown message
Information	12/23/2022 4:10:58 PM	Microsoft-Windows-TerminalServices-LocalSessionManager	23	None	"Remote Desktop Services: Session logoff succeeded:

User: WZSCN\11004142
Session ID: 1"
Information	12/21/2022 8:39:00 AM	Microsoft-Windows-TerminalServices-LocalSessionManager	22	None	"Remote Desktop Services: Shell start notification received:

User: WZSCN\11004142
Session ID: 1
Source Network Address: LOCAL"
Information	12/21/2022 8:39:00 AM	Microsoft-Windows-TerminalServices-LocalSessionManager	21	None	"Remote Desktop Services: Session logon succeeded:

User: WZSCN\11004142
Session ID: 1
Source Network Address: LOCAL"
Information	12/21/2022 8:38:56 AM	Microsoft-Windows-TerminalServices-LocalSessionManager	42	None	"End session arbitration:

User: WZSCN\11004142
Session ID: 1"
Information	12/21/2022 8:38:56 AM	Microsoft-Windows-TerminalServices-LocalSessionManager	41	None	"Begin session arbitration:

User: WZSCN\11004142
Session ID: 1"
Information	12/21/2022 8:38:03 AM	Microsoft-Windows-TerminalServices-LocalSessionManager	32	None	Plugin RDSAppXPlugin has been successfully initialized
Information	12/21/2022 8:36:06 AM	Microsoft-Windows-TerminalServices-LocalSessionManager	54	None	Local multi-user session manager received system shutdown message
